Sample_ID	n	total_length	min_length	max_length	means	F_roh
201094560078_R12C02	66	397.789685	1.111911	27.974428	6.02711643939394	0.159794296665925
201094560082_R01C01	35	128.315297	1.05078	9.403422	3.66615134285714	0.051544958073999
201094560082_R01C02	36	143.372398	1.091186	8.640093	3.98256661111111	0.0575934780704961
201094560082_R02C01	53	263.617424	1.135443	24.702015	4.97391366037736	0.105896564052341
201094560082_R02C02	50	305.24246	1.000086	28.853644	6.1048492	0.12261756915159
201094560082_R03C01	64	295.770211	1.105066	24.98369	4.621409546875	0.11881251481289
201094560082_R03C02	55	240.969946	1.140346	14.060362	4.38127174545455	0.0967989480136869
201094560082_R04C01	72	391.537187	1.255634	20.572628	5.43801648611111	0.157282633950701
201094560082_R04C02	65	386.143778	1.260187	20.271354	5.94067350769231	0.155116071995263
201094560082_R05C01	47	220.184678	1.072343	20.912973	4.68478038297872	0.0884493919384137
201094560082_R05C02	29	114.509645	1.356995	11.810743	3.94860844827586	0.0459991519997301
201094560082_R06C01	28	115.130782	1.042455	14.506429	4.11181364285714	0.046248666136951
201094560082_R06C02	10	38.745648	1.281245	17.604956	3.8745648	0.0155643391583306
201094560082_R07C01	46	227.023452	1.043201	16.919003	4.93529243478261	0.0911965649360927
201094560082_R07C02	26	58.522355	1.1617	5.958603	2.25085980769231	0.0235087507521935
201094560082_R08C01	14	50.460573	1.168303	10.07432	3.60432664285714	0.0202702887378655
201094560082_R08C02	15	51.849536	1.339759	7.801818	3.45663573333333	0.0208282427875789
201094560082_R09C01	21	54.79338	1.27176	5.125521	2.60920857142857	0.0220108010569675
201094560082_R09C02	47	243.545328	1.405014	25.086976	5.1818154893617	0.0978334930782129
201094560082_R10C01	44	168.81661	1.072343	17.125345	3.83674113636364	0.0678145574852594
201094560082_R10C02	61	318.197746	1.39388	17.827203	5.21635649180328	0.127821778542982
201094560082_R11C01	69	297.520672	1.312758	30.776687	4.31189379710145	0.119515684590497
201094560082_R11C02	61	382.570126	1.4251	22.03475	6.27164140983607	0.15368051640043
201094560082_R12C01	49	303.088675	1.255265	27.534385	6.18548316326531	0.121752381912648
201094560082_R12C02	55	259.311443	1.181596	27.413594	4.71475350909091	0.104166827884466
201094560084_R01C01	90	488.577655	1.098753	40.247617	5.42864061111111	0.196264321804654
201094560084_R01C02	85	515.390494	1.172241	29.38245	6.06341757647059	0.207035186186473
201094560084_R02C01	68	399.251964	1.071342	23.060101	5.87135241176471	0.160381702154668
201094560084_R02C02	47	218.467961	1.154956	16.63846	4.6482544893617	0.0877597773105497
201094560084_R03C01	33	160.800914	1.106172	15.389186	4.87275496969697	0.064594608469719
201094560084_R03C02	66	591.290064	1.229742	54.001598	8.95894036363636	0.23752445944502
201094560084_R04C01	65	288.799154	1.109275	32.828646	4.44306390769231	0.116012203009095
201094560084_R04C02	13	31.408228	1.022171	7.247094	2.41601753846154	0.012616857329478
201094560084_R05C01	54	248.248462	1.066412	19.645932	4.59719374074074	0.0997227677828991
201094560084_R05C02	57	312.106661	1.135443	25.323753	5.47555545614035	0.125374956314529
201094560084_R06C01	17	54.832079	1.166486	9.816129	3.22541641176471	0.0220263466573685
201094560084_R06C02	9	25.277229	1.945837	4.670688	2.808581	0.0101540014284647
201094560084_R07C01	31	80.661956	1.089549	7.107927	2.60199858064516	0.0324023498163804
201094560084_R07C02	48	342.871018	1.152072	41.339737	7.14314620833333	0.137733167134386
201094560084_R08C01	16	56.621749	1.472264	12.309511	3.5388593125	0.0227452669051726
201094560084_R08C02	19	57.759088	1.157121	7.826813	3.039952	0.023202142214988
201094560084_R09C01	37	185.067325	1.447073	34.104967	5.0018195945946	0.0743425587675033
201094560084_R09C02	13	36.893589	1.135443	7.863352	2.83796838461538	0.0148203569072856
201094560084_R10C01	73	344.228345	1.112004	15.482832	4.71545678082192	0.138278412829509
201094560084_R10C02	37	145.890719	1.130042	19.790455	3.94299240540541	0.0586051014185827
201094560084_R11C01	59	267.778427	1.257515	15.999572	4.53861740677966	0.107568061763021
201094560084_R11C02	47	219.561355	1.166486	29.408243	4.67151819148936	0.0881989996730117
201094560084_R12C01	77	455.017429	1.13482	22.40106	5.90931725974026	0.182782995083928
201094560084_R12C02	73	410.533997	1.16038	33.173587	5.62375338356164	0.164913756645213
201094560086_R01C01	58	230.809879	1.137816	13.368275	3.97948067241379	0.092717593414601
201094560086_R01C02	73	462.935859	1.193099	20.314406	6.34158710958904	0.185963871814174
201094560086_R03C01	57	202.204624	1.257515	11.676492	3.54744954385965	0.0812267057017273
201094560086_R03C02	58	192.598072	1.045313	14.741028	3.3206564137931	0.0773677011118404
201094560086_R05C01	56	276.22652	1.15935	20.792437	4.93261642857143	0.110961707023338
201094560086_R05C02	62	357.988637	1.027181	29.090566	5.77401027419355	0.143805997543169
201094560086_R07C01	63	373.54446	1.045201	19.943422	5.92927714285714	0.150054856900457
201094560086_R07C02	27	74.977016	1.099705	6.316237	2.77692651851852	0.0301186782604225
201977910001_R12C01	49	325.195301	1.165774	42.023918	6.63663879591837	0.130632734738606
201977910001_R12C02	51	239.624202	1.04155	25.685991	4.69851376470588	0.0962583552731477
201977910016_R03C01	59	468.250569	1.121567	40.540204	7.9364503220339	0.18809881994998
201977910016_R03C02	53	273.03234	1.363543	19.183885	5.15155358490566	0.109678587410711
201977910016_R05C02	61	272.418929	1.12173	27.625145	4.46588408196721	0.109432176850035
201977910016_R07C01	62	274.459195	1.021233	18.434494	4.42676120967742	0.110251762884502
201977910016_R07C02	4	11.294916	1.824417	4.569607	2.823729	0.00453722966225407
201977910032_R03C01	47	176.572573	1.081467	11.373936	3.75686325531915	0.070930170331158
201977910032_R03C02	18	50.603112	1.19183	6.077028	2.811284	0.0203275474353917
201977910032_R05C02	55	279.54928	1.181616	17.348114	5.08271418181818	0.112296477926686
201977910032_R07C01	18	79.036507	1.337267	19.405951	4.39091705555556	0.031749398044337
201977910040_R08C01	18	71.158212	1.167995	10.059931	3.953234	0.0285846437635626
201977910040_R08C02	60	373.705533	1.045313	34.986339	6.22842555	0.150119560807364
201977910056_R12C01	38	196.711575	1.419469	19.782957	5.17662039473684	0.0790201178121834
201977910056_R12C02	54	315.216747	1.139486	29.826828	5.83734716666667	0.126624294906455
201977910057_R10C02	53	328.1932	1.477479	33.777349	6.19232452830189	0.131837007197759
201977910057_R12C01	24	111.65359	1.07742	21.29559	4.65223291666667	0.0448518590527945
201977910057_R12C02	19	52.29936	1.27673	7.410594	2.75259789473684	0.0210089395537695
201977910060_R03C01	61	273.566135	1.021233	18.434494	4.48469073770492	0.109893015787829
201977910060_R03C02	4	11.294916	1.824417	4.569607	2.823729	0.00453722966225407
201977910060_R05C02	79	398.944944	1.308571	24.98369	5.049936	0.160258370537956
201977910060_R12C02	74	384.217139	1.013905	18.559864	5.1921235	0.154342130549461
201977910067_R01C01	43	168.21262	1.200847	10.956608	3.91192139534884	0.0675719313919175
201977910067_R01C02	8	22.279254	1.490024	5.350112	2.78490675	0.00894969843969557
201977910067_R02C01	43	267.419797	1.154956	23.048192	6.21906504651163	0.107423998126446
201977910067_R02C02	40	232.111289	1.12188	29.778043	5.802782225	0.093240376944355
201977910067_R03C01	21	66.203765	1.292086	7.224207	3.15256023809524	0.0265944152493828
201977910067_R03C02	21	72.285552	1.283193	8.109967	3.44216914285714	0.0290375024202755
201977910067_R04C01	22	100.312595	1.303763	14.879958	4.55966340909091	0.0402961192036912
201977910067_R04C02	38	188.882639	1.076869	22.949242	4.9705957631579	0.0758751913122352
201977910067_R05C01	31	145.472734	1.106046	21.800602	4.69266883870968	0.0584371945531951
201977910067_R05C02	29	100.402082	1.224395	12.157138	3.46214075862069	0.0403320666220506
201977910067_R06C01	20	106.39691	1.354402	17.762375	5.3198455	0.0427402218860394
201977910067_R06C02	37	227.567107	1.023578	40.039531	6.15046235135135	0.0914149541292511
201977910067_R07C01	24	71.974405	1.061078	5.624644	2.99893354166667	0.0289125129650444
201977910067_R07C02	18	79.459497	1.337267	19.405951	4.4144165	0.0319193154456561
201977910067_R08C01	52	242.402313	1.203238	17.432255	4.66158294230769	0.0973743376880885
201977910067_R08C02	56	243.295782	1.189215	15.101501	4.34456753571429	0.0977332490823038
201977910067_R09C01	75	412.348954	1.072674	16.723158	5.49798605333333	0.16564283481951
201977910067_R09C02	16	50.095522	1.15985	6.052872	3.130970125	0.0201236457503979
201977910067_R10C01	38	157.582821	1.460337	13.11227	4.14691634210526	0.0633018828739296
201977910067_R10C02	38	187.38305	1.020031	22.668278	4.93113289473684	0.075272798192004
201977910067_R11C01	14	37.557938	1.502521	5.329196	2.68270985714286	0.0150872295417424
201977910067_R11C02	77	477.141862	1.147749	38.294136	6.19664755844156	0.191670501079383
201977910077_R03C01	24	79.794373	1.202515	12.293967	3.32476554166667	0.0320538369702409
201977910077_R03C02	77	489.996961	1.034092	26.731085	6.3635968961039	0.196834464803771
201977910077_R05C01	20	81.505564	1.448814	14.901877	4.0752782	0.0327412317736181
201977910077_R05C02	42	397.771005	1.055621	42.982851	9.47073821428571	0.159786792807544
201977910077_R12C01	61	380.629878	1.15935	47.292012	6.23983406557377	0.152901108144739
201977910077_R12C02	18	42.718152	1.017626	5.178569	2.37323066666667	0.0171601157875878
201977910080_R01C01	13	37.077367	1.519459	6.069701	2.85210515384615	0.0148941815371341
201977910080_R01C02	43	212.575972	1.106046	28.572197	4.94362725581395	0.0853929330364998
201977910080_R02C01	18	65.465371	1.261742	8.079133	3.63696505555556	0.0262977983326009
201977910080_R02C02	24	88.628691	1.283779	10.875242	3.692862125	0.0356026309298759
201977910080_R03C01	55	234.425003	1.17401	22.63129	4.26227278181818	0.0941698085391337
201977910080_R03C02	29	133.582914	1.454871	13.022512	4.60630737931034	0.0536609886935975
201977910080_R04C01	56	224.351578	1.072343	23.730116	4.00627817857143	0.0901232585063144
201977910080_R04C02	27	108.452327	1.228481	15.206444	4.01675285185185	0.0435658941602467
201977910080_R05C01	35	240.283324	1.110675	27.708932	6.86523782857143	0.0965231281930564
201977910080_R05C02	24	107.866533	1.385504	17.378198	4.494438875	0.0433305774998333
201977910080_R06C01	52	266.416874	1.154428	20.396365	5.12340142307692	0.107021118460536
201977910080_R06C02	57	435.977056	1.011966	33.970717	7.64872028070175	0.175134372893557
201977910080_R07C01	17	70.379822	1.283193	13.994259	4.13998952941177	0.0282719602343711
201977910080_R07C02	45	202.179639	1.155172	19.573035	4.49288086666667	0.0812166690902897
201977910080_R08C01	32	124.269813	1.039371	12.329154	3.88343165625	0.0499198649787538
201977910080_R08C02	14	58.312374	1.316559	18.3101	4.16516957142857	0.0234244002336319
201977910080_R09C01	43	229.83591	1.445381	39.162119	5.3450211627907	0.0923263447291822
201977910080_R09C02	29	149.978995	1.013065	24.137025	5.17168948275862	0.0602473842947618
201977910080_R11C02	54	273.159312	1.189215	21.744646	5.05850577777778	0.109729592759018
201977910086_R10C01	28	132.551301	1.561555	14.741645	4.73397503571429	0.0532465840974441
201977910086_R10C02	46	224.58202	1.13482	24.011863	4.88221782608696	0.0902158283207184
201977910086_R12C01	30	110.522374	1.256553	14.321357	3.68407913333333	0.0443974433856381
201977910086_R12C02	22	61.996232	1.311133	5.739182	2.81801054545455	0.0249042261826812
202031420014_R02C01	53	264.822835	1.245304	20.044225	4.99665726415094	0.106380784257644
202031420014_R02C02	50	231.758529	1.189215	20.25566	4.63517058	0.0930986713189517
202031420014_R04C01	32	101.763279	1.142766	8.493506	3.18010246875	0.0408788669173844
202031420014_R04C02	29	111.728971	1.186692	14.53702	3.85272313793103	0.0448821400136419
202031420014_R06C01	64	388.318842	1.045016	23.271226	6.06748190625	0.15598980712513
202031420014_R06C02	43	150.155291	1.226395	9.768335	3.49198351162791	0.0603182033642031
202031420014_R08C01	66	351.440675	1.047443	22.100683	5.32485871212121	0.14117564531977
202031420014_R08C02	69	350.348159	1.061078	21.190249	5.07750955072464	0.14073677565472
202031420014_R10C01	56	308.624598	1.089095	28.285687	5.51115353571429	0.123976192522976
202031420014_R10C02	8	40.992735	1.465102	15.370244	5.124091875	0.0164670063220409
202031420014_R12C01	48	201.566144	1.159417	15.669818	4.19929466666667	0.0809702247863529
202031420014_R12C02	81	324.409384	1.05243	17.819902	4.00505412345679	0.130317027572261
202031420015_R01C01	33	130.302927	1.333852	11.13165	3.94857354545455	0.0523433999387801
202031420015_R01C02	16	51.291	1.354262	13.748467	3.2056875	0.0206038758151608
202031420015_R02C01	27	105.925251	1.198714	12.816874	3.92315744444444	0.0425507538806758
202031420015_R02C02	30	139.833651	1.39388	19.149008	4.6611217	0.0561719440054696
202031420015_R03C01	29	159.18393	1.594949	13.307164	5.48910103448276	0.0639450571345705
202031420015_R04C01	31	136.50904	1.089095	12.641515	4.40351741935484	0.0548364295452774
202031420015_R04C02	47	220.615958	1.167091	28.676842	4.69395655319149	0.0886226394781685
202031420015_R05C01	74	482.121494	1.179456	48.130517	6.51515532432432	0.193670846546096
202031420015_R05C02	88	537.482989	1.165929	40.922394	6.10776123863636	0.215909862512282
202031420015_R06C01	24	59.292048	1.487849	5.327941	2.470502	0.0238179406488186
202031420015_R06C02	45	212.879652	1.161079	20.82554	4.73065893333333	0.0855149229569059
202031420015_R07C01	60	272.321374	1.139486	22.412233	4.53868956666667	0.109392988471856
202031420015_R07C02	59	341.317351	1.033879	30.534108	5.78503984745763	0.137109050585164
202031420015_R08C01	31	218.370435	1.153201	31.446674	7.04420758064516	0.0877206005818302
202031420015_R08C02	27	88.041471	1.269591	13.164979	3.26079522222222	0.0353667414374468
202031420015_R09C01	67	429.818864	1.13482	30.389065	6.41520692537314	0.172660593415404
202031420015_R09C02	56	240.551934	1.255634	16.068588	4.29557025	0.0966310303022512
202031420015_R10C01	8	23.9861	1.664817	7.055482	2.9982625	0.00963534783275876
202031420015_R10C02	36	199.060292	1.305696	19.615941	5.52945255555556	0.0799636103039063
202031420015_R11C01	67	328.728191	1.270974	21.00578	4.90639091044776	0.132051916014632
202031420015_R11C02	46	258.061249	1.045313	36.711579	5.61002715217391	0.103664618102616
202031420015_R12C01	16	49.497353	1.162981	6.304731	3.0935845625	0.0198833579846597
202031420015_R12C02	21	85.959195	1.355593	9.615576	4.093295	0.0345302797557309
202031420032_R02C01	24	107.589929	1.385504	17.378198	4.48291370833333	0.0432194641570251
202031420045_R02C01	52	221.992039	1.097311	15.039722	4.26907767307692	0.0891754187578784
202031420045_R02C02	47	220.608135	1.105925	26.449564	4.69379010638298	0.0886194969361923
202031420045_R04C01	30	142.065925	1.39388	19.149008	4.73553083333333	0.0570686607058929
202031420045_R04C02	15	70.710362	1.680953	13.061046	4.71402413333333	0.0284047399639911
202031420045_R06C01	51	245.40521	1.064099	13.546139	4.8118668627451	0.0985806178712341
202031420045_R06C02	13	34.569914	1.059952	5.754673	2.65922415384615	0.0138869239242126
202031420045_R08C01	35	149.954612	1.030004	14.464866	4.28441748571429	0.0602375895100238
202031420045_R08C02	10	30.401379	1.664817	5.704849	3.0401379	0.0122124005678509
202031420045_R10C01	32	131.761116	1.193078	8.143428	4.117534875	0.0529291624521067
202031420045_R10C02	23	98.367475	1.416741	11.727383	4.27684673913044	0.0395147538388984
202031420045_R12C01	76	442.79368	1.05243	22.014057	5.82623263157895	0.177872648114836
202031420045_R12C02	63	389.092084	1.12774	29.38245	6.17606482539683	0.156300422674507
202031420064_R01C01	38	169.679683	1.283779	21.986364	4.46525481578947	0.0681612586396806
202031420064_R01C02	58	208.349871	1.07742	14.040185	3.59223915517241	0.0836952851024309
202031420064_R02C01	60	280.35301	1.323435	17.338609	4.67255016666667	0.11261934067276
202031420064_R02C02	50	277.477706	1.370234	24.076631	5.54955412	0.111464315297025
