Sample_ID	n	total_length	Mean	SD	min_length	max_length	Froh_1Mb	Froh_2Mb	Froh_4Mb	Froh_8Mb	Froh_16Mb
201094560068_R03C01	62	290.574936	4.69	2.79	1.332657	15.655571	0.117	0.114	0.082	0.04	
201094560068_R03C02	30	132.047943	4.4	4	1.480163	19.149008	0.053	0.05	0.033	0.014	0.014
201094560068_R05C02	66	253.449136	3.84	4.01	1.013905	23.890697	0.102	0.086	0.053	0.032	0.023
201094560068_R07C01	17	48.372963	2.85	1.81	1.166366	7.024412	0.019	0.012	0.008		
201094560068_R07C02	57	278.286845	4.88	3.77	1.201243	19.338983	0.112	0.104	0.08	0.05	0.008
201094560076_R01C01	67	386.056806	5.76	5.1	1.317114	24.98369	0.155	0.15	0.118	0.074	0.034
201094560076_R01C02	70	323.054195	4.62	3.63	1.000253	14.49838	0.13	0.12	0.088	0.051	
201094560076_R03C01	24	61.846926	2.58	2.6	1.121902	13.87284	0.025	0.016	0.009	0.006	
201094560076_R03C02	52	216.119598	4.16	2.4	1.162549	11.792235	0.087	0.081	0.055	0.018	
201094560076_R05C01	66	345.697758	5.24	4.17	1.203238	20.422466	0.139	0.129	0.107	0.061	0.016
201094560076_R05C02	64	379.721163	5.93	5.51	1.134419	23.728501	0.153	0.144	0.121	0.091	0.04
201094560076_R07C01	48	220.920601	4.6	5.65	1.223118	34.584284	0.089	0.079	0.06	0.035	0.023
201094560076_R07C02	89	512.034151	5.75	5.37	1.205644	38.622043	0.206	0.195	0.171	0.109	0.037
201094560078_R02C01	39	200.723004	5.15	4.52	1.302466	19.008532	0.081	0.078	0.051	0.042	0.015
201094560078_R02C02	10	44.870426	4.49	3.17	1.537199	10.251454	0.018	0.017	0.012	0.008	
201094560078_R04C01	20	68.62167	3.43	1.77	1.298732	6.538567	0.028	0.025	0.016		
201094560078_R04C02	49	227.424035	4.64	3.77	1.002041	17.578516	0.091	0.084	0.068	0.035	0.014
201094560078_R06C01	69	359.547749	5.21	4.29	1.094773	23.394035	0.144	0.135	0.113	0.065	0.017
201094560078_R06C02	48	239.087938	4.98	4.32	1.220929	19.713475	0.096	0.088	0.065	0.049	0.008
201094560078_R07C01	10	37.615075	3.76	2.25	1.28556	6.990263	0.015	0.013	0.01		
201094560078_R07C02	23	86.959767	3.78	2.39	1.32835	10.922104	0.035	0.032	0.021	0.008	
201094560078_R08C01	41	169.15431	4.13	3.44	1.189511	20.178607	0.068	0.062	0.043	0.019	0.008
201094560078_R08C02	56	267.914049	4.78	4.38	1.139486	22.412233	0.108	0.098	0.072	0.051	0.016
201094560078_R09C01	48	193.169185	4.02	3.36	1.393151	16.373708	0.078	0.068	0.044	0.031	0.007
201094560078_R09C02	21	64.632936	3.08	1.78	1.209274	7.962256	0.026	0.021	0.01		
201094560078_R10C01	68	301.988534	4.44	3.31	1.053062	17.851383	0.121	0.112	0.087	0.034	0.014
201094560078_R10C02	72	366.689288	5.09	4.45	1.072674	26.384597	0.147	0.138	0.112	0.062	0.019
201094560078_R11C01	64	321.933946	5.03	4.02	1.111972	17.984153	0.129	0.121	0.095	0.058	0.014
201094560078_R11C02	13	41.863064	3.22	1.97	1.315749	7.063503	0.017	0.014	0.01		
201094560078_R12C01	43	142.125538	3.31	2.05	1.07742	9.870933	0.057	0.048	0.029	0.004	
201094560078_R12C02	66	397.789685	6.03	5.06	1.111911	27.974428	0.16	0.154	0.126	0.09	0.033
201094560082_R01C01	35	128.315297	3.67	2.02	1.05078	9.403422	0.052	0.048	0.023	0.011	
201094560082_R01C02	36	143.372398	3.98	2.14	1.091186	8.640093	0.058	0.054	0.037	0.01	
201094560082_R02C01	53	263.617424	4.97	4.24	1.135443	24.702015	0.106	0.1	0.08	0.045	0.017
201094560082_R02C02	50	305.24246	6.1	5.76	1.000086	28.853644	0.123	0.118	0.099	0.075	0.029
201094560082_R03C01	64	295.770211	4.62	4.07	1.105066	24.98369	0.119	0.109	0.085	0.051	0.01
201094560082_R03C02	55	240.969946	4.38	3.11	1.140346	14.060362	0.097	0.09	0.063	0.034	
201094560082_R04C01	72	391.537187	5.44	4.43	1.255634	20.572628	0.157	0.146	0.125	0.072	0.023
201094560082_R04C02	65	386.143778	5.94	4.89	1.260187	20.271354	0.155	0.15	0.127	0.069	0.045
201094560082_R05C01	47	220.184678	4.68	4.47	1.072343	20.912973	0.088	0.082	0.059	0.039	0.023
201094560082_R05C02	29	114.509645	3.95	2.68	1.356995	11.810743	0.046	0.042	0.03	0.008	
201094560082_R06C01	28	115.130782	4.11	2.76	1.042455	14.506429	0.046	0.042	0.031	0.006	
201094560082_R06C02	10	38.745648	3.87	5.02	1.281245	17.604956	0.016	0.012	0.011	0.007	0.007
201094560082_R07C01	46	227.023452	4.94	4.06	1.043201	16.919003	0.091	0.085	0.07	0.04	0.007
201094560082_R07C02	26	58.522355	2.25	1.11	1.1617	5.958603	0.024	0.013	0.004		
201094560082_R08C01	14	50.460573	3.6	2.45	1.168303	10.07432	0.02	0.018	0.011	0.004	
201094560082_R08C02	15	51.849536	3.46	1.65	1.339759	7.801818	0.021	0.02	0.012		
201094560082_R09C01	21	54.79338	2.61	1.16	1.27176	5.125521	0.022	0.017	0.007		
201094560082_R09C02	47	243.545328	5.18	4.75	1.405014	25.086976	0.098	0.091	0.072	0.045	0.017
201094560082_R10C01	44	168.81661	3.84	3.19	1.072343	17.125345	0.068	0.058	0.041	0.019	0.007
201094560082_R10C02	61	318.197746	5.22	4.2	1.39388	17.827203	0.128	0.12	0.093	0.059	0.014
201094560082_R11C01	69	297.520672	4.31	5.12	1.312758	30.776687	0.12	0.104	0.082	0.045	0.031
201094560082_R11C02	61	382.570126	6.27	5.47	1.4251	22.03475	0.154	0.144	0.123	0.088	0.046
201094560082_R12C01	49	303.088675	6.19	5.58	1.255265	27.534385	0.122	0.116	0.1	0.066	0.022
